# SPOT, PRICE, DELTA
2.476476476476476307e+01,1.523523523523523693e+01,-1.000000000000000000e+00
2.480480480480480310e+01,1.519519519519519690e+01,-1.000000000000000000e+00
2.484484484484484312e+01,1.515515515515515688e+01,-1.000000000000000000e+00
2.488488488488488315e+01,1.511511511511511685e+01,-1.000000000000000000e+00
2.492492492492492318e+01,1.507507507507507682e+01,-1.000000000000000000e+00
2.496496496496496320e+01,1.503503503503503680e+01,-1.000000000000000000e+00
2.500500500500500323e+01,1.499499499499499677e+01,-1.000000000000000000e+00
2.504504504504504325e+01,1.495495495495495675e+01,-1.000000000000000000e+00
2.508508508508508328e+01,1.491491491491491672e+01,-1.000000000000000000e+00
2.512512512512512330e+01,1.487487487487487670e+01,-1.000000000000000000e+00
2.516516516516516333e+01,1.483483483483483667e+01,-1.000000000000000000e+00
2.520520520520520336e+01,1.479479479479479664e+01,-1.000000000000000000e+00
2.524524524524524338e+01,1.475475475475475662e+01,-1.000000000000000000e+00
2.528528528528528341e+01,1.471471471471471659e+01,-1.000000000000000000e+00
2.532532532532532343e+01,1.467467467467467657e+01,-1.000000000000000000e+00
2.536536536536536346e+01,1.463463463463463654e+01,-1.000000000000000000e+00
2.540540540540540349e+01,1.459459459459459651e+01,-1.000000000000000000e+00
2.544544544544544351e+01,1.455455455455455649e+01,-1.000000000000000000e+00
2.548548548548548354e+01,1.451451451451451646e+01,-1.000000000000000000e+00
2.552552552552552356e+01,1.447447447447447644e+01,-1.000000000000000000e+00
2.556556556556556359e+01,1.443443443443443641e+01,-1.000000000000000000e+00
2.560560560560560361e+01,1.439439439439439639e+01,-1.000000000000000000e+00
2.564564564564564364e+01,1.435435435435435636e+01,-1.000000000000000000e+00
2.568568568568568367e+01,1.431431431431431633e+01,-1.000000000000000000e+00
2.572572572572572369e+01,1.427427427427427631e+01,-1.000000000000000000e+00
2.576576576576576372e+01,1.423423423423423628e+01,-1.000000000000000000e+00
2.580580580580580374e+01,1.419419419419419626e+01,-1.000000000000000000e+00
2.584584584584584377e+01,1.415415415415415623e+01,-1.000000000000000000e+00
2.588588588588588379e+01,1.411411411411411621e+01,-1.000000000000000000e+00
2.592592592592592382e+01,1.407407407407407618e+01,-1.000000000000000000e+00
2.596596596596596385e+01,1.403403403403403615e+01,-1.000000000000000000e+00
2.600600600600600387e+01,1.399399399399399613e+01,-1.000000000000000000e+00
2.604604604604604390e+01,1.395395395395395610e+01,-1.000000000000000000e+00
2.608608608608608392e+01,1.391391391391391608e+01,-1.000000000000000000e+00
2.612612612612612395e+01,1.387387387387387605e+01,-1.000000000000000000e+00
2.616616616616616398e+01,1.383383383383383602e+01,-1.000000000000000000e+00
2.620620620620620400e+01,1.379379379379379600e+01,-1.000000000000000000e+00
2.624624624624624403e+01,1.375375375375375597e+01,-1.000000000000000000e+00
2.628628628628628405e+01,1.371371371371371595e+01,-1.000000000000000000e+00
2.632632632632632408e+01,1.367367367367367592e+01,-1.000000000000000000e+00
2.636636636636636410e+01,1.363363363363363590e+01,-1.000000000000000000e+00
2.640640640640640413e+01,1.359359359359359587e+01,-1.000000000000000000e+00
2.644644644644644771e+01,1.355355355355355229e+01,-1.000000000000000000e+00
2.648648648648648773e+01,1.351351351351351227e+01,-1.000000000000000000e+00
2.652652652652652776e+01,1.347347347347347224e+01,-1.000000000000000000e+00
2.656656656656656779e+01,1.343343343343343221e+01,-1.000000000000000000e+00
2.660660660660660781e+01,1.339339339339339219e+01,-1.000000000000000000e+00
2.664664664664664784e+01,1.335335335335335216e+01,-1.000000000000000000e+00
2.668668668668668786e+01,1.331331331331331214e+01,-1.000000000000000000e+00
2.672672672672672789e+01,1.327327327327327211e+01,-1.000000000000000000e+00
2.676676676676676792e+01,1.323323323323323208e+01,-1.000000000000000000e+00
2.680680680680680794e+01,1.319319319319319206e+01,-1.000000000000000000e+00
2.684684684684684797e+01,1.315315315315315203e+01,-1.000000000000000000e+00
2.688688688688688799e+01,1.311311311311311201e+01,-1.000000000000000000e+00
2.692692692692692802e+01,1.307307307307307198e+01,-1.000000000000000000e+00
2.696696696696696804e+01,1.303303303303303196e+01,-1.000000000000000000e+00
2.700700700700700807e+01,1.299299299299299193e+01,-1.000000000000000000e+00
2.704704704704704810e+01,1.295295295295295190e+01,-1.000000000000000000e+00
2.708708708708708812e+01,1.291291291291291188e+01,-1.000000000000000000e+00
2.712712712712712815e+01,1.287287287287287185e+01,-1.000000000000000000e+00
2.716716716716716817e+01,1.283283283283283183e+01,-1.000000000000000000e+00
2.720720720720720820e+01,1.279279279279279180e+01,-1.000000000000000000e+00
2.724724724724724823e+01,1.275275275275275177e+01,-1.000000000000000000e+00
2.728728728728728825e+01,1.271271271271271175e+01,-1.000000000000000000e+00
2.732732732732732828e+01,1.267267267267267172e+01,-1.000000000000000000e+00
2.736736736736736830e+01,1.263263263263263170e+01,-1.000000000000000000e+00
2.740740740740740833e+01,1.259259259259259167e+01,-1.000000000000000000e+00
2.744744744744744835e+01,1.255255255255255165e+01,-1.000000000000000000e+00
2.748748748748748838e+01,1.251251251251251162e+01,-1.000000000000000000e+00
2.752752752752752841e+01,1.247247247247247159e+01,-1.000000000000000000e+00
2.756756756756756843e+01,1.243243243243243157e+01,-1.000000000000000000e+00
2.760760760760760846e+01,1.239239239239239154e+01,-1.000000000000000000e+00
2.764764764764764848e+01,1.235235235235235152e+01,-1.000000000000000000e+00
2.768768768768768851e+01,1.231231231231231149e+01,-1.000000000000000000e+00
2.772772772772772854e+01,1.227227227227227146e+01,-1.000000000000000000e+00
2.776776776776776856e+01,1.223223223223223144e+01,-1.000000000000000000e+00
2.780780780780780859e+01,1.219219219219219141e+01,-1.000000000000000000e+00
2.784784784784784861e+01,1.215215215215215139e+01,-1.000000000000000000e+00
2.788788788788788864e+01,1.211211211211211136e+01,-1.000000000000000000e+00
2.792792792792792866e+01,1.207207207207207134e+01,-1.000000000000000000e+00
2.796796796796796869e+01,1.203203203203203131e+01,-1.000000000000000000e+00
2.800800800800800872e+01,1.199199199199199128e+01,-1.000000000000000000e+00
2.804804804804804874e+01,1.195195195195195126e+01,-1.000000000000000000e+00
2.808808808808808877e+01,1.191191191191191123e+01,-1.000000000000000000e+00
2.812812812812812879e+01,1.187187187187187121e+01,-1.000000000000000000e+00
2.816816816816816882e+01,1.183183183183183118e+01,-1.000000000000000000e+00
